150.037500	0.186000
149.637000	0.324000
148.441500	0.735000
146.460000	1.402500
143.712000	2.307000
140.221500	3.417000
136.023000	4.695000
131.154000	6.102000
125.665500	7.593000
119.610000	9.123000
113.049000	10.645500
106.053000	12.118500
98.695500	13.497000
91.054500	14.740500
83.215500	15.814500
75.264000	16.686000
67.294500	17.331000
59.380500	17.725500
51.459000	17.761500
43.798500	17.374500
36.504000	16.590000
29.670000	15.453000
23.388000	14.016000
17.737500	12.346500
12.786000	10.518000
8.589000	8.604000
5.190000	6.678000
2.617500	4.806000
0.892500	3.043500
0.021000	1.432500
0.000000	0.000000
0.801000	-1.188000
2.385000	-2.074500
4.723500	-2.671500
7.779000	-2.998500
11.508000	-3.081000
15.861000	-2.950500
20.791500	-2.644500
26.242500	-2.205000
32.161500	-1.681500
38.496000	-1.122000
45.190500	-0.576000
52.188000	-0.096000
59.433000	0.273000
67.027500	0.555000
74.736000	0.813000
82.464000	1.026000
90.132000	1.179000
97.657500	1.264500
104.958000	1.279500
111.951000	1.228500
118.558500	1.120500
124.705500	0.964500
130.317000	0.780000
135.330000	0.579000
139.681500	0.378000
143.319000	0.193500
146.197500	0.036000
148.281000	-0.085500
149.541000	-0.160500
149.962500	-0.186000
150.000000	0.000000
